unnamed_0,deal_num,pre_rev_mul_ly,pre_ebitda_mul_ly,pre_ebit_mul_ly,pre_pbt_mul_ly,pre_pat_mul_ly,pre_np_mul_ly,pre_ta_mul_ly,pre_na_mul_ly,pre_cl_mul_ly,pre_eq_mul_ly,pre_cap_mul_ly,post_rev_mul_fy,post_ebitda_mul_fy,post_ebit_mul_fy,post_pbt_mul_fy,post_pat_mul_fy,post_np_mul_fy,post_ta_mul_fy,post_na_mul_fy,post_cl_mul_fy,post_eq_mul_fy,post_cap_mul_fy
1.0,1943352667.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.0,1601137423.0,0.19,n.s.,n.s.,n.s.,n.s.,-,0.52,-,0.74,1.84,-,0.23,n.s.,n.s.,n.s.,n.s.,-,1.21,-,1.02,n.s.,-
3.0,1943247017.0,48.56,-,n.s.,n.s.,n.s.,-,7.2,-,51.62,8.37,-,8.29,-,-,43.72,43.72,-,5.69,-,-,7.15,-
4.0,1943081241.0,0.11,-,n.s.,n.s.,n.s.,-,0.17,-,0.19,0.17,-,0.06,-,-,0.44,0.44,-,0.06,-,-,0.11,-
5.0,1601415101.0,-,-,-,-,-,-,7.51,-,n.s.,32.14,-,-,-,-,-,-,-,8.06,-,210.11,16.85,-
6.0,2007544800.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.0,112336.0,1.2,-,1.2,-,n.s.,-,0.54,-,2.82,0.67,-,-,-,-,-,-,-,5.63,-,286.07,5.75,-
8.0,2007509148.0,0.86,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,-,-,-,-,-
9.0,2007181441.0,0.63,-,-,5.23,5.48,-,0.64,-,-,0.91,-,-,-,-,-,-,-,-,-,-,-,-
10.0,1943056735.0,0.29,-,-,-,-,-,-,-,-,-,-,0.24,-,-,-,-,-,-,-,-,-,-
11.0,2007203713.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12.0,1941442476.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13.0,1943156926.0,3.38,-,n.s.,n.s.,n.s.,-,0.53,-,4.09,0.98,-,-,-,-,-,-,-,-,-,-,-,-
14.0,1907039903.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15.0,1601356863.0,0.59,19.7,35.6,36.96,37.12,-,2.27,-,4.03,5.42,-,0.75,n.s.,n.s.,n.s.,n.s.,-,0.77,-,4.69,0.94,-
16.0,1943162490.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17.0,1907245215.0,0.02,-,3.08,3.07,4.1,-,9918.33,-,0.47,1.17,-,0.02,-,-,3.85,5.13,-,0.15,-,-,0.49,-
18.0,1909084836.0,0.08,1.5,3.34,4.93,22.5,-,0.06,-,0.1,0.28,-,-,-,-,-,-,-,-,-,-,-,-
19.0,2007419172.0,28.06,-,-,n.s.,-,-,6.16,-,-,9.02,-,-,-,-,-,-,-,-,-,-,-,-
20.0,2007993795.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21.0,2007162645.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22.0,1943220949.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.0,1941652153.0,1.32,n.s.,n.s.,n.s.,n.s.,-,1.68,-,8.47,2.09,-,1.31,n.s.,n.s.,n.s.,n.s.,-,1.53,-,3.61,2.82,-
24.0,2007477119.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.0,2007317537.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26.0,2007953319.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.0,1943331213.0,0.7,-,-,n.s.,-,-,1.94,-,-,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
28.0,1943307374.0,3.27,49.78,95.04,130.68,209.09,-,9.42,-,18.03,33.66,-,2.95,41.99,73.11,90.91,120.17,-,8.22,-,15.25,26.5,-
29.0,2007171174.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30.0,1943087734.0,0.94,n.s.,n.s.,n.s.,n.s.,-,0.66,-,1.26,7.11,-,0.93,21.59,n.s.,n.s.,n.s.,-,0.59,-,0.96,2.32,-
31.0,2007215086.0,77.75,n.s.,n.s.,4.92,4.92,-,4.03,-,291.81,4.28,-,27.24,42.47,43.04,n.s.,n.s.,-,50.49,-,69.78,n.s.,-
32.0,2007172716.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33.0,1941243987.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34.0,1941665028.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35.0,1000001147.0,1.78,-,18.29,18.39,29.31,-,4.97,-,17.25,6.98,-,-,-,-,-,-,-,-,-,-,-,-
36.0,1600002561.0,0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37.0,2007443372.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38.0,2007198689.0,6.39,-,-,n.s.,n.s.,-,9.64,-,-,13.03,-,-,-,-,-,-,-,-,-,-,-,-
39.0,2007420125.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40.0,1941595711.0,0.69,3.88,3.89,3.09,3.93,-,1.51,-,2.55,3.71,-,0.54,18.75,18.94,10.48,13.33,-,1.97,-,2.4,10.97,-
41.0,1939042705.0,0.66,-,-,62.5,62.5,-,1.07,-,-,n.s.,-,0.77,-,-,n.s.,n.s.,-,1.2,-,-,n.s.,-
42.0,243465.0,1.94,19.88,33.61,33.51,41.53,-,2.79,-,4.03,9.84,-,1.56,11,20.86,20.81,27.43,-,2.84,-,4.93,7.24,-
43.0,1941466548.0,3.65,-,-,n.s.,n.s.,-,1.72,-,-,1.97,-,1.9,-,-,n.s.,n.s.,-,1.04,-,-,1.43,-
44.0,2007478780.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45.0,1907089680.0,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46.0,1907088188.0,0.21,0.78,0.79,0.79,1.05,-,0.28,-,1.31,0.35,-,0.78,3.78,3.88,3.88,5.19,-,0.93,-,3.83,1.22,-
47.0,1633047055.0,1.63,-,23.84,20.38,29.95,-,0.61,-,1.14,1.3,-,1.62,-,22.95,76.03,157.12,-,0.47,-,0.95,1.29,-
48.0,1941575356.0,5.05,n.s.,n.s.,n.s.,n.s.,-,3.08,-,6.1,7.59,-,0.92,26.46,27.6,28.65,34.06,-,1.99,-,3.88,4.11,-
49.0,1633029316.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50.0,1907052427.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51.0,1943294643.0,0.49,-,n.s.,n.s.,n.s.,-,0.46,-,0.94,0.96,-,0.61,-,n.s.,n.s.,n.s.,-,0.81,-,4.53,1.02,-
52.0,2007715204.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53.0,1601006333.0,1.2,-,13.87,15.08,20.37,-,0.85,-,9.77,1.04,-,0.98,-,8.7,8.62,10.73,-,0.93,-,8.62,1.06,-
54.0,1601309330.0,0.6,n.s.,n.s.,n.s.,n.s.,-,0.18,-,0.18,n.s.,-,0.57,-,n.s.,n.s.,n.s.,-,0.28,-,0.21,n.s.,-
55.0,2007280895.0,1.32,4.96,6.77,8.7,9.96,-,3.01,-,8.45,79.47,-,1.23,5.74,9.83,14.85,17.8,-,1.8,-,7.95,9.54,-
56.0,1941327780.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57.0,167016.0,0.32,115.57,444.66,170.6,-,-,1.04,-,1.47,5.23,-,0.35,n.s.,n.s.,n.s.,-,-,2.65,-,1.81,n.s.,-
58.0,1943290848.0,7.61,-,n.s.,n.s.,n.s.,-,1.46,-,1.64,n.s.,-,0.5,8.84,10.21,10.03,10.03,-,2.41,-,9.03,3.28,-
59.0,2007435575.0,1.06,2,2.16,9.31,12,-,0.33,-,0.41,2.28,-,-,-,-,-,-,-,-,-,-,-,-
60.0,1943079393.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61.0,2007733084.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62.0,1907080271.0,1.35,14.92,14.97,15.74,16.4,-,2.9,-,6.38,9.16,-,-,-,-,-,-,-,-,-,-,-,-
63.0,1943280244.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64.0,1941379125.0,0.51,4.7,4.88,4.91,5.86,-,1.67,-,5.12,2.87,-,0.4,3.29,3.49,3.52,4.25,-,1.48,-,3.74,2.75,-
65.0,1907136051.0,0.26,-,-,n.s.,n.s.,-,0.5,-,0.59,3.56,-,0.48,-,-,56.85,51.5,-,0.45,-,0.53,3.33,-
66.0,1907062661.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67.0,1941331385.0,0.11,-,n.s.,n.s.,n.s.,-,0.1,-,0.17,1.6,2.17,0.08,23.24,23.24,19.27,n.s.,-,0.1,-,0.12,6.27,1.16
68.0,1943035297.0,1.5,-,-,42.94,-,-,2.17,-,-,-,-,0.67,-,-,n.s.,n.s.,-,0.35,-,-,0.65,-
69.0,1941687966.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70.0,1943351804.0,2.03,n.s.,n.s.,n.s.,n.s.,-,0.41,-,0.4,n.s.,0.17,2.16,n.s.,n.s.,n.s.,n.s.,-,0.42,-,1.13,1.38,0.05
71.0,1941711624.0,0.45,-,-,-,-,-,-,-,-,-,-,0.32,-,-,-,-,-,-,-,-,-,-
72.0,1943239507.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73.0,1907189159.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74.0,1943280757.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75.0,1907199397.0,0.1,-,7.42,9.71,8.79,-,0.29,-,0.78,1.07,-,0.12,-,6.05,7.03,17.6,-,0.43,-,1.25,1.13,-
76.0,1941669606.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77.0,2007035184.0,6.51,-,-,-,n.s.,-,3.78,6.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78.0,1909512459.0,277.78,n.s.,n.s.,n.s.,n.s.,-,0.09,-,2.91,0.39,0.26,13.59,n.s.,n.s.,n.s.,n.s.,-,0.11,-,1,0.36,1.73
79.0,2007153950.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80.0,1943289276.0,0.22,-,4.85,13.07,12.8,-,0.21,-,0.37,0.48,-,-,-,-,-,-,-,-,-,-,-,-
81.0,2007128325.0,2.25,-,-,7.64,-,-,0.38,-,-,0.86,-,-,-,-,-,-,-,-,-,-,-,-
82.0,2007235160.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83.0,1601484921.0,0.51,3.73,3.8,3.82,4.13,-,0.87,-,4.15,1.1,0.55,-,-,-,-,-,-,-,-,-,-,-
84.0,2007509494.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85.0,1943322995.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86.0,2007510374.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87.0,1941678670.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88.0,1943297164.0,0.37,n.s.,n.s.,n.s.,n.s.,-,0.39,-,0.43,n.s.,-,0.12,19.63,n.s.,n.s.,n.s.,-,0.16,-,0.22,1.32,-
89.0,183506.0,0.85,4.35,29.02,n.s.,n.s.,-,1.05,-,1.86,3.79,-,1.41,13.77,63.18,1.35,1.38,-,1.05,-,1.05,18000.62,-
90.0,2007783218.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91.0,1907071919.0,0.06,-,n.s.,n.s.,n.s.,-,0.06,-,0.09,0.18,-,0.05,-,2.87,2.9,2.88,-,0.06,-,0.11,0.16,-
92.0,1601192787.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,348.5,-,-,4.08,-,n.s.,4.08,-
93.0,1907158557.0,0.71,30.2,n.s.,n.s.,n.s.,-,0.32,-,0.81,0.54,0.13,0.44,4.25,9.12,29.11,29.11,-,0.39,-,1.52,0.53,0.29
94.0,2007041864.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95.0,2008071390.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96.0,507739.0,0.04,2.3,2.73,12.89,17.83,-,0.1,-,0.11,9.35,-,0.04,2.22,2.57,12.04,15.77,-,0.17,-,0.21,1.21,-
97.0,1941059857.0,14211.43,-,n.s.,96.04,96.04,-,0.7,-,4.17,0.84,2.2,1844.23,-,n.s.,8.32,8.32,-,0.72,-,3.6,0.98,2.32
98.0,1909650163.0,0.35,3.19,3.2,3.32,4.43,-,0.51,-,0.58,4.23,-,0.69,19.88,20.64,19.86,26.29,-,1.28,-,1.51,8.39,-
99.0,2007640088.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100.0,648610.0,4.14,n.s.,n.s.,n.s.,-,-,7.67,-,0.25,n.s.,-,3.34,n.s.,n.s.,0.43,0.42,-,2.18,-,1.08,n.s.,-
101.0,2007179063.0,0.39,-,-,49.02,-,-,1.27,-,-,5.61,-,-,-,-,-,-,-,-,-,-,-,-
102.0,1943331434.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103.0,1943331427.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104.0,2007749764.0,8.86,n.s.,n.s.,n.s.,n.s.,-,3.39,-,9.18,5.38,-,-,-,-,-,-,-,-,-,-,-,-
105.0,1943290947.0,36.14,-,n.s.,n.s.,n.s.,-,0.29,-,0.43,1.26,-,3.28,-,45.6,n.s.,n.s.,-,0.3,-,0.47,1.45,-
106.0,2007529523.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107.0,2007120534.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108.0,1909055938.0,18.18,-,18.18,18.18,n.s.,-,0.68,-,-,-,-,20.83,-,20.83,20.83,n.s.,-,0.78,-,-,-,-
109.0,1601175398.0,0.07,-,-,-,-,-,0.05,-,0.17,0.16,-,-,-,-,-,-,-,-,-,-,-,-
110.0,2007750742.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111.0,2007130008.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112.0,2007776668.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113.0,1943218964.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114.0,1907156114.0,1.27,-,-,12.16,-,-,n.s.,-,-,-,-,1.35,-,-,n.s.,n.s.,-,0.73,-,-,3.74,-
115.0,2007243398.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116.0,79627.0,1.15,7.18,9.21,10.78,22.32,-,2.43,-,5.44,4.9,-,0.98,7.65,10.73,12.75,28.28,-,1.92,-,3.71,4.48,-
117.0,1941596280.0,0.24,16.09,16.09,14.11,20.27,-,0.24,-,0.38,0.83,-,0.36,-,-,-,-,-,-,-,-,-,-
118.0,1941019048.0,-,-,-,-,-,-,1.53,-,2.24,n.s.,-,-,-,-,-,-,-,2.57,-,n.s.,n.s.,-
,,-,-,-,-,-,-,1.53,-,2.24,n.s.,-,-,-,-,-,-,-,2.57,-,n.s.,n.s.,-
119.0,2007984857.0,0.64,14.55,15.38,15.34,20.52,-,0.71,-,0.88,4.1,-,-,-,-,-,-,-,-,-,-,-,-
120.0,1943285539.0,2.99,-,n.s.,n.s.,n.s.,-,1.28,-,1.08,n.s.,-,0.37,-,1.61,1.69,2.12,-,0.45,-,1.18,0.73,-
121.0,2007686368.0,1.82,-,-,7.51,8.33,-,1.52,-,-,2.52,-,-,-,-,-,-,-,-,-,-,-,-
122.0,2007433465.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123.0,2007530786.0,0.66,-,-,27.42,27.42,-,0.32,-,-,1.4,-,-,-,-,-,-,-,-,-,-,-,-
124.0,1941610789.0,0.03,-,-,n.s.,n.s.,-,0.1,-,0.16,0.26,-,-,-,-,-,-,-,-,-,-,-,-
125.0,2007911040.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126.0,2007911031.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127.0,1943248310.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128.0,2007909871.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129.0,1633099170.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130.0,1907217297.0,5.09,-,n.s.,n.s.,n.s.,-,0.84,-,3.22,1.13,-,-,-,-,-,-,-,-,-,-,-,-
131.0,1907099551.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132.0,1601409711.0,0.68,-,n.s.,n.s.,n.s.,-,0.35,-,2.34,0.61,-,0.76,-,n.s.,n.s.,n.s.,-,0.32,-,1.56,0.59,-
133.0,2007691495.0,0.26,2.39,2.99,2.99,3.68,-,0.29,-,0.46,1.03,-,-,-,-,-,-,-,-,-,-,-,-
134.0,1941711714.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135.0,1601492433.0,0.22,-,-,-,-,-,-,-,-,-,2.7,0.67,-,79.1,79.1,79.1,-,2.3,-,1.43,n.s.,0.15
136.0,1941179159.0,0.55,-,167.4,121.53,161.93,-,1.93,-,3.08,5.14,-,0.86,-,-,n.s.,n.s.,-,0.13,-,-,2.02,-
137.0,1941615766.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138.0,1907087746.0,0.17,4.39,5.56,6.11,7.64,7.64,0.4,1.23,0.61,1.23,4.78,0.17,3,3.79,4.59,4.93,4.93,0.36,-,0.48,1.39,1.62
139.0,2007043141.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140.0,1907098482.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141.0,1943235419.0,1.29,-,1.29,3.02,3.02,-,0.32,-,-,3.23,-,0.12,-,0.12,0.75,0.75,-,0.1,-,n.s.,0.6,-
142.0,1909400327.0,0.1,5.01,7.61,8.14,11.34,-,0.44,-,1.23,0.81,-,0.11,5.42,8.04,8.74,11.48,-,0.53,-,1.09,1.24,-
143.0,2007532713.0,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144.0,1909509779.0,2.24,18.64,20.56,20.58,31.3,-,4.21,-,6.11,18.79,-,1.12,9.97,11.06,11.05,15.87,-,1.78,-,2.46,8.18,-
145.0,1941424232.0,1.17,-,2.15,1.7,1.96,-,0.45,-,1.23,0.7,-,1.06,-,1.87,1.44,1.64,-,0.57,-,2.85,0.71,-
146.0,2008043795.0,2.79,-,-,14.24,-,-,0.07,-,-,0.54,1,-,-,-,-,-,-,-,-,-,0,-
147.0,1941574353.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148.0,2007059659.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149.0,2007443523.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150.0,1941613094.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151.0,1907161006.0,0.39,9.04,n.s.,n.s.,n.s.,-,0.34,-,0.59,0.86,-,0.4,30.17,n.s.,n.s.,n.s.,-,0.42,-,0.8,0.94,-
152.0,1909645095.0,0.51,-,52.01,17.96,30.9,-,0.36,-,1.28,2.62,-,0.35,-,4.47,3.38,5.78,-,0.27,-,0.94,1.6,-
153.0,1943059405.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154.0,1909241103.0,0.82,-,96.12,97.93,117.97,-,0.84,-,3.87,1.17,-,0.8,-,31.94,36.94,47.19,-,0.84,-,4.02,1.15,-
155.0,2007147463.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156.0,2007135149.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157.0,2007245329.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158.0,1941728858.0,0.11,-,-,n.s.,n.s.,-,0.15,-,0.16,2.06,-,-,-,-,-,-,-,-,-,-,-,-
159.0,1633110661.0,2.53,6.83,8.82,9.76,9.9,-,1.33,-,7.81,2.04,1.02,1.44,2.52,2.82,1.78,1.79,-,1.1,-,8.18,1.49,0.81
160.0,2007217461.0,5.22,29.79,244.19,429.43,647.37,-,7.39,-,12.65,24.32,-,5.02,57.25,n.s.,n.s.,n.s.,-,8.5,-,13.18,33.05,-
161.0,1943247672.0,7.36,-,-,45.96,108.24,-,0.74,-,4.13,n.s.,-,6.95,-,-,27.01,45.37,-,0.78,-,4.5,n.s.,-
162.0,2007143894.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163.0,1907223529.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164.0,2007950049.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165.0,2007148878.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166.0,2007244137.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167.0,2007244618.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168.0,1943295794.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
169.0,1601398294.0,0.96,-,n.s.,n.s.,n.s.,-,1.56,-,8.01,1.93,-,1.09,-,n.s.,n.s.,n.s.,-,1.75,-,10.54,2.11,-
170.0,117327.0,0.47,-,8.82,7.84,7.84,-,2.36,-,3.59,6.88,-,0.44,-,5.87,5.5,5.5,-,1.95,-,3.16,5.08,-
171.0,1909254546.0,0.67,n.s.,n.s.,n.s.,n.s.,-,0.39,-,0.46,4.3,-,0.15,0.74,0.76,0.83,0.95,-,0.56,-,3.55,0.78,-
172.0,1603061072.0,-,-,-,-,-,-,-,-,-,-,-,296.95,420.25,420.25,420.25,420.25,-,3541.08,-,501.94,n.s.,-
173.0,1943305875.0,0.53,-,16.96,37.92,37.92,-,0.25,-,0.34,1.02,-,-,-,-,-,-,-,-,-,-,-,-
174.0,2007589495.0,4.13,-,n.s.,n.s.,n.s.,-,6.52,-,13.51,15.62,-,-,-,-,-,-,-,-,-,-,-,-
175.0,1907115325.0,6.01,-,-,25.33,25.81,-,1.5,-,2.43,4.33,0.04,7.51,-,-,11.83,13.96,-,1.25,-,1.95,3.82,-
176.0,1943099261.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177.0,1603005587.0,-,-,-,-,-,-,-,-,-,-,-,n.s.,-,-,-,-,-,1.18,-,256.43,1.18,0.34
178.0,2007077034.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179.0,1941600784.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180.0,1943166613.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
181.0,2007704916.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
182.0,1943268411.0,0.68,-,103.74,192.72,192.72,-,0.85,-,3.27,1.14,-,0.4,-,7.18,7.37,8.49,-,0.39,-,0.69,0.87,-
183.0,1909402302.0,0.27,-,6.27,n.s.,n.s.,-,0.02,-,0.16,0.04,-,0.29,-,5.83,n.s.,n.s.,-,0.02,-,1.25,0.03,-
184.0,1943199048.0,2.07,-,-,7.73,-,-,1.92,-,-,3.12,-,-,-,-,-,-,-,-,-,-,-,-
185.0,2007868144.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
186.0,1907199436.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
187.0,1941609630.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
188.0,1907095042.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
189.0,1943108818.0,2.42,-,11.8,9.09,9.24,-,1.29,-,14.38,1.42,-,-,-,-,-,-,-,-,-,-,-,-
190.0,2007251207.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
191.0,1907199434.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
192.0,1943009806.0,2.59,n.s.,n.s.,n.s.,n.s.,-,0.8,-,3.55,1.03,-,1.2,n.s.,n.s.,n.s.,n.s.,-,0.5,-,0.84,1.24,-
193.0,1601382369.0,1.19,3.34,3.58,3.52,4.37,-,1.88,-,13.28,2.29,-,1.02,3.33,3.72,3.67,4.55,-,1.85,-,10.03,2.34,-
194.0,1907154895.0,0.04,-,0.48,0.53,0.64,-,0.03,-,0.07,0.08,-,-,-,-,-,-,-,-,-,-,-,-
195.0,1907039545.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
196.0,1633114111.0,0.67,-,7.44,8.7,9.94,-,0.79,-,6.5,0.9,-,0.67,-,18.28,104.94,139.34,-,0.64,-,4,0.89,-
197.0,1941343103.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198.0,1943039463.0,1.85,-,5.02,5.44,5.45,-,0.76,-,5.15,1.31,-,2.21,-,6.8,8.62,8.65,-,0.92,-,5.66,1.42,-
199.0,576468.0,0.33,3.19,3.23,3.06,4.26,-,0.99,-,1.87,2.09,-,0.28,6.05,6.24,5.62,7.9,-,0.82,-,1.34,2.11,-
