unnamed_0,deal_num,pre_rev_mul_ly,pre_ebitda_mul_ly,pre_ebit_mul_ly,pre_pbt_mul_ly,pre_pat_mul_ly,pre_np_mul_ly,pre_ta_mul_ly,pre_na_mul_ly,pre_cl_mul_ly,pre_eq_mul_ly,pre_cap_mul_ly,post_rev_mul_fy,post_ebitda_mul_fy,post_ebit_mul_fy,post_pbt_mul_fy,post_pat_mul_fy,post_np_mul_fy,post_ta_mul_fy,post_na_mul_fy,post_cl_mul_fy,post_eq_mul_fy,post_cap_mul_fy
10689.0,1601375708.0,0.08,-,n.s.,n.s.,n.s.,-,0.12,-,0.24,0.26,-,0.08,-,2.94,2.94,3.64,-,0.12,-,0.24,0.26,-
10690.0,2007135001.0,0.44,-,-,3.02,-,-,0.79,-,-,1.41,-,-,-,-,-,-,-,-,-,-,-,-
10691.0,1909419310.0,0.14,n.s.,n.s.,n.s.,n.s.,-,0.27,-,0.32,3.14,-,-,-,-,-,-,-,-,-,-,-,-
10692.0,1909130744.0,0.24,3.59,5.01,n.s.,n.s.,-,0.25,-,0.36,1.38,-,-,-,-,-,-,-,-,-,-,-,-
10693.0,1941488899.0,0.47,-,40.32,25,40.65,-,0.51,-,1.09,0.97,-,1.88,-,n.s.,454.54,n.s.,-,0.55,-,2.5,0.71,-
10694.0,1907053630.0,0.12,-,8.47,9.27,12.92,-,0.2,-,0.97,0.25,-,0.06,-,-,1.62,2.22,-,0.04,-,-,0.15,-
10695.0,1943295272.0,2.18,-,n.s.,n.s.,n.s.,-,1.79,-,1.75,n.s.,-,0.83,-,n.s.,n.s.,n.s.,-,1.3,-,0.58,n.s.,-
10696.0,265059.0,0.04,0.66,0.8,0.82,1.01,-,0.15,-,0.2,0.65,-,-,-,-,-,-,-,-,-,-,-,-
10697.0,1633031800.0,0,-,0.09,0.09,0.11,-,0,-,0.01,0.01,-,0,-,0.07,0.07,0.09,-,0,-,0.02,0.01,-
10698.0,1943105561.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10699.0,1943108827.0,0.08,-,-,n.s.,n.s.,-,0.1,-,0.08,n.s.,-,n.s.,-,-,-,-,-,0.23,-,0.06,n.s.,-
10700.0,1907164941.0,0.04,-,n.s.,n.s.,n.s.,-,0.09,-,0.13,n.s.,-,0.07,-,2.47,1.11,1.12,-,0.19,-,0.29,n.s.,-
10701.0,1909139357.0,0.84,4.65,27.58,27.67,27.67,-,0.09,-,1.19,0.17,-,0.92,n.s.,n.s.,n.s.,n.s.,-,0.09,-,0.31,0.28,-
10702.0,1941544562.0,9.31,n.s.,n.s.,n.s.,n.s.,-,0.93,-,9.76,1.03,-,7.45,n.s.,n.s.,n.s.,n.s.,-,0.97,-,9.03,1.09,-
10703.0,1907102014.0,-,-,-,-,-,-,-,-,-,-,-,2.71,n.s.,n.s.,n.s.,n.s.,-,5.51,-,6.82,51.5,-
10704.0,79742.0,0.3,n.s.,n.s.,n.s.,n.s.,n.s.,0.64,5.45,0.92,5.45,-,0.49,n.s.,n.s.,n.s.,n.s.,n.s.,1.02,-,0.61,n.s.,-
10705.0,1941493332.0,0.21,-,-,n.s.,-,-,0.04,-,-,0.44,0.77,-,-,-,-,-,-,-,-,-,0,-
10706.0,2007301763.0,0.21,-,-,-,0.97,-,0,0.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10707.0,1941148410.0,0.07,-,1.08,1.48,1.64,-,0.06,-,0.06,1.2,-,0.08,-,-,4.41,4.41,-,0.05,-,-,0.51,-
10708.0,1907024667.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10709.0,2007268871.0,0.44,-,-,-,23.27,-,0.57,1.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10710.0,1939000611.0,104.76,-,-,n.s.,n.s.,-,0.34,-,60.25,0.34,-,175.88,-,-,n.s.,n.s.,-,0.74,-,37.21,0.75,-
10711.0,1941403087.0,0.93,-,-,-,-,-,0.92,-,-,1.41,-,-,-,-,-,-,-,-,-,-,-,-
10712.0,1943170882.0,0,0.02,0.03,0.03,0.03,-,0,-,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-
10713.0,1941114231.0,0.02,1.06,1.27,3.66,7.37,-,0.04,-,0.05,0.47,-,0.01,3.64,7.26,n.s.,n.s.,-,0.03,-,0.03,n.s.,-
10714.0,1943230945.0,2.72,n.s.,n.s.,n.s.,n.s.,-,0.47,-,0.21,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10715.0,2007024858.0,-,n.s.,n.s.,n.s.,n.s.,-,0.56,-,0.24,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10716.0,1943099698.0,0.24,-,-,2.01,1.97,-,0.49,-,1.19,1.01,-,0.34,-,-,64.24,n.s.,-,1.06,-,4.09,1.47,-
10717.0,2007159344.0,2.33,-,-,n.s.,n.s.,-,0.39,-,0.81,0.89,-,-,-,-,-,-,-,-,-,-,-,-
10718.0,1909563281.0,8.59,-,n.s.,n.s.,n.s.,-,1.77,-,0.72,n.s.,-,0.43,1.5,1.5,1.71,1.99,-,0.46,-,1.52,n.s.,-
10719.0,1943282771.0,44.17,-,n.s.,n.s.,n.s.,-,0.26,-,1.73,3.07,-,10.74,-,n.s.,n.s.,n.s.,-,0.29,-,1.23,n.s.,-
10720.0,1943177591.0,0.17,14.22,16.24,30.15,47.63,-,0.32,-,0.55,0.78,-,0.13,n.s.,n.s.,n.s.,n.s.,-,0.31,-,0.5,0.87,-
10721.0,1601212858.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10722.0,1909045109.0,246.75,-,579.53,5086.03,7.77,-,3.15,-,75.96,3.31,0.58,-,-,-,-,-,-,-,-,-,-,-
10723.0,1907245252.0,6.67,-,n.s.,n.s.,n.s.,-,0.72,-,0.92,3.17,-,-,-,-,-,-,-,-,-,-,-,-
10724.0,1909008292.0,0.49,4.29,9.21,8.64,10.8,-,0.75,-,3.83,0.93,-,-,-,-,-,-,-,-,-,-,-,-
10725.0,1941746151.0,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10726.0,1909012705.0,0.49,-,-,17.4,-,-,0.16,-,-,1.22,-,-,-,-,-,-,-,0.16,-,-,-,-
10727.0,418252.0,0.02,0.1,0.13,0.14,0.21,-,0.02,-,0.05,0.07,-,0.02,0.09,0.11,0.12,0.2,-,0.02,-,0.1,0.05,-
10728.0,1943146539.0,5.07,n.s.,n.s.,n.s.,n.s.,-,0.01,-,0.05,0.31,-,-,-,-,-,-,-,-,-,-,-,-
10729.0,264750.0,0.56,-,32.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10730.0,1943186472.0,2.36,-,483.79,483.79,483.79,-,0.89,-,7.9,1.01,-,1.99,-,56.83,56.83,56.83,-,0.94,-,26.8,0.99,-
10731.0,1907199064.0,0.43,-,n.s.,n.s.,n.s.,-,0.33,-,0.64,0.69,-,10.37,-,n.s.,n.s.,n.s.,-,0.68,-,23.15,0.7,-
