unnamed_0,deal_num,pre_rev_mul_ly,pre_ebitda_mul_ly,pre_ebit_mul_ly,pre_pbt_mul_ly,pre_pat_mul_ly,pre_np_mul_ly,pre_ta_mul_ly,pre_na_mul_ly,pre_cl_mul_ly,pre_eq_mul_ly,pre_cap_mul_ly,post_rev_mul_fy,post_ebitda_mul_fy,post_ebit_mul_fy,post_pbt_mul_fy,post_pat_mul_fy,post_np_mul_fy,post_ta_mul_fy,post_na_mul_fy,post_cl_mul_fy,post_eq_mul_fy,post_cap_mul_fy
26.0,70663.0,-,-,-,-,-,-,-,-,-,-,-,1630.12,-,n.s.,n.s.,-,-,4.41,-,24.36,6.15,-
27.0,1909117336.0,-,-,-,-,-,-,-,-,-,-,-,-,-,n.s.,22.32,22.38,-,7.89,-,1999.25,7.92,1.25
28.0,1941704614.0,21.91,n.s.,n.s.,n.s.,n.s.,n.s.,11.7,15.34,52.54,15.34,1.8,-,-,-,-,-,-,-,-,-,0.92,-
29.0,1943212740.0,2.71,10.68,17.26,15.62,23.83,-,1.82,-,8.35,2.51,1.25,2.69,15.63,15.63,14.42,20.01,-,1.66,-,6.87,2.35,1.25
30.0,64729.0,2.54,-,49.56,133.1,282.25,320.95,1.21,2.82,5.92,3.25,-,-,-,-,-,-,-,-,-,-,-,-
31.0,1909167612.0,2.41,28.66,n.s.,n.s.,n.s.,n.s.,1.58,2.32,13.69,2.33,-,3.86,n.s.,n.s.,n.s.,n.s.,n.s.,2,-,16.49,3,-
32.0,1909251750.0,0.7,-,-,23.84,-,-,1.46,-,-,3.46,1.22,0.71,-,-,9.2,-,-,1.36,-,-,3.76,1.04
33.0,2007443106.0,12.13,-,-,13.1,-,-,1.53,-,-,0.91,0.81,-,-,-,-,-,-,-,-,-,0.63,-
34.0,1941528737.0,12.76,24.15,32.51,40.82,54.27,54.47,3.37,7.66,70.53,8.28,2.21,11.4,22.2,29.27,45.52,63.76,64,3.22,-,68.78,7.63,1.76
35.0,47886.0,14.14,-,-,49.29,-,-,-,6.78,-,9.36,-,5.33,-,105624173.71,-,25.41,-,-,-,-,5.37,-
36.0,95816.0,3.6,50.55,n.s.,n.s.,n.s.,n.s.,1.81,3.07,10.08,3.24,-,3.45,52.32,n.s.,n.s.,n.s.,n.s.,1.7,-,5.48,3.35,-
37.0,449420.0,0.75,4.17,5.31,5.61,5.84,6.49,0.7,1.44,2.51,1.69,-,0.61,4.02,5.24,6.11,6.88,8.37,0.56,-,2.13,1.31,-
38.0,2007615619.0,2105.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39.0,68114.0,-,-,-,-,-,-,-,-,-,-,-,1041.17,-,n.s.,n.s.,-,-,2.82,-,15.56,3.93,-
40.0,1941577802.0,11.78,22.28,29.99,37.66,50.07,50.26,3.11,7.07,65.07,7.64,2.04,10.52,20.48,27.01,42,58.82,59.05,2.97,-,63.46,7.04,1.62
41.0,57325.0,8.25,20.31,27.59,91.88,201.96,204.26,4.62,6.85,n.s.,6.89,-,-,-,-,-,-,-,-,-,-,-,-
42.0,64317.0,15.4,n.s.,n.s.,n.s.,n.s.,n.s.,1.46,3.53,34.62,3.53,-,-,-,-,-,-,-,-,-,-,-,-
43.0,2007535884.0,2.89,12,18.65,32.77,36.84,37.79,1.75,10.95,9.95,11.43,5.3,-,-,-,-,-,-,-,-,-,-,-
44.0,1601225506.0,0.42,9.18,10.93,12.25,19.99,19.99,1.72,7.26,3.33,7.26,1.34,-,-,-,-,-,-,-,-,-,0.8,-
45.0,521358.0,98.46,n.s.,n.s.,16.63,16.64,-,1.33,-,13.94,1.81,-,80.69,n.s.,n.s.,51.35,51.53,-,1.29,-,9.9,1.74,-
46.0,1909647786.0,4.59,21.91,25.11,27.95,35.12,35.12,4.05,10.89,13.51,10.89,1.27,4.35,17.75,19.74,21.79,27.01,54.15,4.63,-,12.96,17.93,1.26
47.0,631239.0,8.55,24.01,24.32,25.84,26.29,-,7.13,-,24.57,11.47,2.04,-,-,-,-,-,-,-,-,-,-,-
48.0,71195.0,2.69,13.14,124.58,-,-,-,1.08,3.49,-,3.38,-,-,-,-,-,-,-,-,-,-,-,-
49.0,1941096149.0,0.79,-,-,10.01,-,-,0.05,-,-,1.12,0.99,0.76,-,-,9.41,-,-,0.05,-,-,1.15,1.37
50.0,59173.0,3.66,17.15,23.56,23.13,33.04,33.59,2.48,4.75,7.71,4.75,-,-,-,-,-,-,-,-,-,-,-,-
51.0,300755.0,6.75,22.92,27.15,28.94,44.33,48.47,4.73,6.79,24.69,6.79,-,7.15,36.37,53.82,47.99,57.26,61.37,4.04,-,19.28,5.39,-
52.0,97368.0,0.75,24.68,1923.08,n.s.,n.s.,n.s.,1.06,2.25,2.25,2.25,-,-,-,-,-,-,-,-,-,-,-,-
53.0,1909178231.0,-,-,-,-,-,-,-,-,-,-,-,-,-,n.s.,n.s.,n.s.,-,3.74,-,118.96,3.86,2.23
54.0,68480.0,2.83,15.35,18.35,21.27,31.98,34.51,3.92,22.47,10.3,26.01,-,-,-,-,-,-,-,-,-,-,-,-
55.0,1909571064.0,6.46,20.56,25.2,36.16,45.16,45.39,4.52,14.33,21.64,14.33,1.45,-,-,-,-,-,-,-,-,-,0.83,-
56.0,1939003548.0,12.64,15.06,15.27,17.53,16.2,16.2,1.18,2.31,26.31,2.31,1.63,-,-,-,-,-,-,-,-,-,1.14,-
57.0,1943253160.0,n.s.,-,-,-,-,-,9.68,-,10.82,739.92,1.18,n.s.,-,-,-,-,-,30.88,-,10.44,n.s.,2.44
58.0,1941591230.0,4.59,21.75,80.73,117.96,206.51,283.68,2.26,5.32,10.98,5.32,2.47,4.27,23.38,49.54,43.34,62.89,65.77,2.26,-,13.23,5.17,1.66
59.0,2007561604.0,3.37,5,10.01,11.77,14.48,14.48,1.15,2.01,5.74,2.01,1.59,-,-,-,-,-,-,-,-,-,1.34,-
60.0,1943211857.0,410.8,460.89,468.58,598.95,594.86,-,60.1,-,363.05,104.44,-,-,-,-,-,-,-,-,-,-,-,-
61.0,532489.0,5.38,-,-,36.17,-,-,0.13,-,-,2.4,-,-,-,-,-,-,-,-,-,-,-,-
62.0,61262.0,2.37,12.86,15.38,17.83,26.81,28.93,3.28,18.83,8.64,21.81,-,-,-,-,-,-,-,-,-,-,-,-
63.0,446295.0,-,-,-,-,-,-,-,-,-,-,-,3.72,-,20.85,92.5,393.56,393.56,1.12,-,13.51,1.71,2.09
64.0,1941521750.0,14.46,91.32,160.56,n.s.,n.s.,n.s.,5.82,11.73,21.22,11.73,1.14,-,-,-,-,-,-,-,-,-,1,-
65.0,1941483578.0,4.01,11.14,n.s.,n.s.,n.s.,n.s.,0.99,2.96,11.54,3.49,1.15,2.51,5.29,10.06,12.57,21.04,33.49,0.91,-,6.11,2.97,0.82
66.0,1941419433.0,108.7,n.s.,n.s.,n.s.,n.s.,n.s.,33,36.46,441.79,36.46,7.81,-,-,-,-,-,-,-,-,-,1.12,-
67.0,1909212719.0,37.12,n.s.,n.s.,263.99,136.74,-,0.67,-,5.26,1.39,1.42,32,n.s.,n.s.,123.42,84.48,-,0.64,-,1.79,1.33,0.96
68.0,1601301188.0,2.28,11.52,13.77,15.8,22.48,22.7,1.72,4.92,8.86,4.97,1.19,-,-,-,-,-,-,-,-,-,0.94,-
69.0,2007486162.0,4802.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70.0,323950.0,2.19,6.16,9.73,9.84,15.57,14.9,1.37,3.43,6.97,3.45,-,-,-,-,-,-,-,-,-,-,-,-
71.0,1909178804.0,-,-,-,-,-,-,-,-,-,-,-,1.56,6.58,15.78,19.2,24.61,-,1.82,-,4.76,4.24,-
72.0,455312.0,2.18,7.89,10.47,12.78,20.2,21.55,1.43,3.5,8.7,3.53,-,-,-,-,-,-,-,-,-,-,-,-
73.0,154563.0,9.4,381.48,n.s.,15.57,13.03,-,0.83,-,3.32,2.1,-,6.89,119.58,274.7,20.46,18.83,-,0.88,-,6.39,2.07,1.09
74.0,1909537539.0,3.28,17.16,22.23,26.93,27.28,27.42,1.89,4.73,10.36,4.86,3.2,-,-,-,-,-,-,-,-,-,2.36,-
75.0,80948.0,11.85,23.2,43.43,50.33,72.29,-,3.04,-,9.57,5.86,-,14.42,-,43.96,15.4,14.99,-,2.02,-,3.9,4.89,-
76.0,2007015680.0,4821.75,-,n.s.,60.53,70.58,-,4.41,-,20.93,11.65,-,5235.64,n.s.,n.s.,106.28,125.27,-,5.05,-,20.84,13.08,-
77.0,1909028298.0,2.45,5.13,n.s.,n.s.,133.28,143.03,0.91,1.78,8.52,1.78,1.31,4.21,9.32,n.s.,n.s.,n.s.,n.s.,0.86,-,4.63,1.92,1.51
78.0,1601475322.0,-,-,-,-,-,-,-,-,-,-,-,14.24,113.01,121.59,57.24,72.55,72.55,3.08,-,7.61,6.71,0.77
79.0,523310.0,3.02,n.s.,n.s.,n.s.,n.s.,-,4.57,-,13.39,10.86,-,-,-,-,-,-,-,-,-,-,-,-
80.0,2007964435.0,13.98,136.54,216.34,84.08,92.89,92.89,3.54,4.53,23.37,4.53,1.49,-,-,-,-,-,-,-,-,-,-,-
81.0,71681.0,1.89,10.25,12.25,14.2,21.35,23.04,2.61,15,6.88,17.37,-,-,-,-,-,-,-,-,-,-,-,-
82.0,2007675339.0,3.05,-,n.s.,66.6,74.55,-,0.63,-,1.54,1.33,1.05,-,-,-,-,-,-,-,-,-,-,-
83.0,2007993908.0,8.5,41.94,64.41,50.63,58.17,60.68,3.17,5.44,20.76,5.44,1.1,-,-,-,-,-,-,-,-,-,-,-
84.0,154311.0,1.03,2.23,6.52,23.31,21.74,38.2,0.52,2.15,1.78,3.43,-,-,-,-,-,-,-,-,-,-,-,-
85.0,104768.0,16.21,119.27,155.29,75.31,94.14,94.14,6.97,7.75,69.3,7.75,-,-,-,-,-,-,-,-,-,-,-,-
86.0,185657.0,1.94,11.68,18.03,23.63,31.87,31.89,1.05,4.04,5.23,4.04,-,-,-,-,-,-,-,-,-,-,-,-
87.0,1941143334.0,1.53,11.66,14.2,17,19.13,15.63,1.16,2.66,6.42,2.69,1.15,-,-,-,-,-,-,-,-,-,1.03,-
88.0,1943242738.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89.0,1941402123.0,6.48,-,-,-,-,-,0.22,-,-,1.23,0.91,-,-,-,-,-,-,-,-,-,0.16,-
90.0,90731.0,1.02,-,-,20.91,-,-,0.06,-,-,0.85,-,1.03,-,-,6.42,-,-,0.04,-,-,0.47,-
91.0,1909606511.0,4.1,10.23,11.46,11.13,16.33,23.4,2.24,4.69,25.47,5.26,1.78,-,-,-,-,-,-,-,-,-,1.37,-
92.0,417279.0,1499.82,n.s.,n.s.,23.38,13.96,-,0.88,-,1.54,3.47,1.1,469.64,n.s.,n.s.,20.71,20.48,-,0.99,-,1.54,5.33,2.04
93.0,367561.0,1.75,26.48,31.02,21.29,23.83,-,1.11,-,3.6,2.84,-,1.8,22.85,26.31,29.01,31.86,-,0.6,-,2.17,2.52,-
94.0,1941618948.0,4055.75,-,n.s.,50.92,59.37,-,3.71,-,17.61,9.8,-,4403.9,n.s.,n.s.,89.39,105.37,-,4.25,-,17.53,11,-
95.0,2007393322.0,21406.73,n.s.,n.s.,n.s.,n.s.,n.s.,10.48,11.16,205.49,11.16,1.17,-,-,-,-,-,-,-,-,-,1.02,-
96.0,455292.0,2.97,8.38,9.97,10.19,14.77,16.06,1.12,2.26,11.52,2.59,1.86,-,-,-,-,-,-,-,-,-,-,-
97.0,91833.0,2.73,15.17,17.56,24.98,38.18,38.63,5.69,36.59,16,36.59,-,-,-,-,-,-,-,-,-,-,-,-
98.0,2007681942.0,2.84,-,-,-,-,-,0.15,-,-,0.69,1.18,-,-,-,-,-,-,-,-,-,0.12,-
99.0,626216.0,16.79,19.56,19.66,5.42,5.32,-,1.51,-,11.61,2.43,1.52,17.71,20.86,20.98,24.09,21.42,-,1.53,-,11.18,3.55,-
100.0,1941657784.0,30.35,-,-,42.64,-,-,1.41,-,-,1.62,1.02,31.58,-,-,43.08,-,-,1.36,-,-,1.49,1.69
101.0,1909309506.0,2.52,13.82,21.73,25.3,39.7,39.7,2.18,6.55,11.67,6.55,1.31,-,-,-,-,-,-,-,-,-,1.15,-
102.0,90750.0,0.92,-,-,18.78,-,-,0.05,-,-,0.76,-,0.93,-,-,5.77,-,-,0.04,-,-,0.42,-
103.0,336684.0,0.4,4.74,6.86,9.64,20.66,84.55,0.56,0.94,2.16,1.27,-,-,-,-,-,-,-,-,-,-,-,-
104.0,76520.0,-,-,-,-,-,-,-,-,-,-,-,9.42,1396.65,n.s.,27.13,21.23,-,0.78,-,5.94,1.93,-
105.0,2007142410.0,5.55,n.s.,n.s.,35.19,51.39,-,8.2,-,3616.07,13.47,-,-,-,-,-,-,-,-,-,-,-,-
106.0,1941685687.0,8.44,19.28,42.26,79.06,91.42,28.95,2.25,5,48.3,5.09,1.36,-,-,-,-,-,-,-,-,-,1.02,-
107.0,370162.0,79.53,-,7558.31,n.s.,n.s.,-,66.51,-,103.61,219.31,-,55.43,-,186.57,190.47,264.76,-,44.72,-,103.58,81.23,-
108.0,33562.0,69.82,-,2752.1,4593.81,6857.02,-,58.24,-,93.98,154.21,-,62.38,-,5927.96,n.s.,n.s.,-,52.16,-,81.26,172,-
109.0,1941412195.0,2.93,6.11,n.s.,n.s.,n.s.,n.s.,0.63,1.42,6.6,1.55,1.09,-,-,-,-,-,-,-,-,-,2.73,-
110.0,1941643502.0,2.02,7.57,68.95,84.87,114.02,-,1.2,-,4.94,2.26,-,2.04,8.24,n.s.,n.s.,n.s.,-,1.27,-,3,2.39,-
111.0,1943275122.0,1.47,10.85,22.33,37.41,51.62,-,1,-,5.22,4.32,1.17,1.31,9.83,19.55,37.13,53.6,-,0.93,-,5.14,4.06,1.52
112.0,1907125817.0,19.29,-,-,66.76,-,-,1.02,-,8.53,7.46,-,-,-,-,-,-,-,-,-,-,-,-
113.0,272896.0,11.13,21.79,32.1,81.63,113.72,49.48,1.85,9.28,68.47,9.28,-,-,-,-,-,-,-,-,-,-,-,-
114.0,1909152635.0,3.18,14.17,18.46,22.93,29.26,29.26,1.26,2.26,10.21,2.26,1.33,-,-,-,-,-,-,-,-,-,0.94,-
115.0,92246.0,2.35,7.7,11.91,29.52,51.61,52.24,0.63,3.67,3.18,3.67,-,-,-,-,-,-,-,-,-,-,-,-
116.0,1909622586.0,536.76,n.s.,n.s.,n.s.,n.s.,n.s.,22.7,27.81,215.81,27.81,5.32,-,-,-,-,-,-,-,-,-,0.99,-
117.0,1943301527.0,4.51,-,-,23.31,23.31,-,0.32,-,-,1.34,-,3.24,-,-,12.51,12.82,-,0.33,-,-,1.28,-
118.0,61884.0,57.01,425.58,n.s.,-,n.s.,-,7.22,-,-,8.45,-,-,-,-,-,-,-,-,-,-,-,-
119.0,1601021056.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120.0,1941463044.0,705.47,-,-,4216.65,-,-,0.99,-,-,0.99,1.33,-,-,-,-,-,-,-,-,-,-,-
121.0,91772.0,1.77,17.68,49.79,62.7,68.64,71.6,1.39,4.31,5.04,4.37,-,2.15,29.59,1288.89,n.s.,n.s.,n.s.,1.47,-,5.02,5.48,-
122.0,48821.0,-,-,-,-,-,-,-,-,-,-,-,1.43,40.81,43.35,48.25,65.58,-,1.4,-,6.53,1.79,-
123.0,1909652825.0,12.5,26.88,95.64,78.68,82.37,72.38,1.41,2.97,17.89,3.33,1.77,-,-,-,-,-,-,-,-,-,1.46,-
124.0,1601170677.0,47718.38,n.s.,n.s.,54,54,-,7.81,-,14.25,17.45,-,1.41,4.93,7.91,7.37,5.99,-,0.93,-,1.83,2.77,-
125.0,1909033496.0,20.63,25.9,41.06,127.48,127.48,55.08,1.5,3.04,236.88,3.04,1.16,-,-,-,-,-,-,-,-,-,1.16,-
126.0,127334.0,1.64,8.36,13.05,22.21,32.04,21.68,1.54,9.94,8.82,9.94,-,-,-,-,-,-,-,-,-,-,-,-
127.0,101709.0,0.11,3.92,5.63,7.38,10.42,12.28,0.17,0.74,0.39,0.89,-,-,-,-,-,-,-,-,-,-,-,-
128.0,35073.0,2.5,11.3,15.32,16.44,20.97,21.08,2.15,4.66,9.01,4.88,-,-,-,-,-,-,-,-,-,-,-,-
129.0,113326.0,0.67,7.23,17.7,78.14,160.87,163.27,0.76,4.84,2.3,5,-,-,-,-,-,-,-,-,-,-,-,-
130.0,1907172030.0,326.83,-,631.56,687.25,927.28,-,50.19,-,56.62,441.57,-,329.63,-,735.51,351.33,398.77,-,1.07,-,12.87,1.17,-
131.0,2007273480.0,4.33,22.12,n.s.,n.s.,n.s.,-,2.72,-,6.44,14.47,-,-,-,-,-,-,-,-,-,-,-,-
132.0,1603059598.0,5.28,8.54,15.77,16.06,26.53,-,1.01,-,10.66,1.65,1,5.17,8.31,14.65,14.52,23.12,-,0.84,-,7.13,1.51,1
133.0,627787.0,193.16,n.s.,n.s.,17.36,16.65,-,2.29,-,10.4,4.04,1.02,-,-,-,-,-,-,-,-,-,2.16,-
134.0,1941595016.0,4.27,6.52,8.55,9.12,13.34,13.34,1.48,2.07,19.74,2.07,0.93,-,-,-,-,-,-,-,-,-,-,-
135.0,1939056141.0,7.13,13.29,14.4,25.16,36.7,-,1.2,-,9.98,12.2,-,6.81,-,22.89,36.7,31.19,-,1.2,-,15.5,1.48,-
136.0,1601496118.0,794.04,n.s.,n.s.,14.34,14.63,-,1.28,-,15.74,3.21,-,1550.56,-,n.s.,61.02,63.35,-,1.28,-,23.91,3.03,-
137.0,2007143662.0,5.2,8.4,9.35,9,13.21,-,1.44,-,17.63,2.09,1.02,-,-,-,-,-,-,-,-,-,-,-
,,5.2,8.4,9.35,9,13.21,-,1.44,-,17.63,2.09,1.02,-,-,-,-,-,-,-,-,-,-,-
138.0,1909299269.0,3.55,10.24,10.95,12.35,15.05,15.05,2.14,15.38,10.57,15.38,0.93,3.05,7.95,8.31,9.03,11.45,11.45,1.92,-,8.2,7.99,0.74
139.0,1941081926.0,4.68,8.22,21.96,38.21,38.45,43.04,0.82,1.58,15.31,1.7,1.01,-,-,-,-,-,-,-,-,-,0.72,-
140.0,245081.0,5.58,-,-,11.36,-,-,0.25,-,-,3.21,-,-,-,-,-,-,-,-,-,-,-,-
141.0,91756.0,10.62,31.61,41.06,40.9,45.51,47.02,3.59,6.72,69.72,6.72,-,-,-,-,-,-,-,-,-,-,-,-
142.0,40411.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.78,-,n.s.,1.78,-
143.0,1909134459.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144.0,1909282216.0,3.92,n.s.,n.s.,35.35,34.18,-,1.54,-,-,5.26,-,-,-,-,-,-,-,-,-,-,-,-
145.0,301989.0,4.54,30.1,62.91,74.19,119.42,121.11,2.44,3.6,8.53,3.6,-,-,-,-,-,-,-,-,-,-,-,-
146.0,1941467319.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147.0,1943208168.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148.0,1941616356.0,16.64,32.68,72.06,106.68,106.75,127.35,4.64,139.35,26.19,158.85,1.89,-,-,-,-,-,-,-,-,-,1.19,-
149.0,1601233704.0,-,-,-,-,-,-,-,-,-,-,1.25,-,n.s.,n.s.,22.87,24.3,-,2.14,-,5.41,3.58,-
150.0,1909401312.0,13.02,50.79,88,71.82,73.33,-,1.74,-,13.65,4.73,4.16,13.17,91.97,939.33,25.26,25.33,-,1.64,-,17.57,4.53,5.27
151.0,2007006743.0,5.09,-,-,12.04,-,-,0.11,-,-,1.92,-,-,-,-,-,-,-,-,-,-,-,-
152.0,1909132631.0,0.94,12.55,18.95,23.35,34.7,34.7,2.56,5.93,8.74,5.93,1.09,-,-,-,-,-,-,-,-,-,0.98,-
153.0,62305.0,1.79,11.02,20.73,-,-,-,1.19,-,-,3.19,-,-,-,-,-,-,-,-,-,-,-,-
154.0,76103.0,24.39,-,-,-,n.s.,-,-,57.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155.0,71664.0,2.65,9.87,17.52,17.77,23.84,-,3.45,-,8.46,8.55,-,2.9,13.19,29.84,30.33,42.82,-,3.43,-,9.39,7.83,-
156.0,338784.0,0.47,3.28,n.s.,n.s.,n.s.,n.s.,0.57,2.3,1.57,2.3,-,-,-,-,-,-,-,-,-,-,-,-
157.0,224854.0,4.3,28.49,59.55,70.22,113.03,114.63,2.31,3.41,8.07,3.41,-,-,-,-,-,-,-,-,-,-,-,-
158.0,1601491456.0,26.78,n.s.,n.s.,n.s.,n.s.,n.s.,7.18,11.83,73.84,11.83,1.9,-,-,-,-,-,-,-,-,-,0.78,-
159.0,1941405457.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
