unnamed_0,deal_num,pre_rev_mul_ly,pre_ebitda_mul_ly,pre_ebit_mul_ly,pre_pbt_mul_ly,pre_pat_mul_ly,pre_np_mul_ly,pre_ta_mul_ly,pre_na_mul_ly,pre_cl_mul_ly,pre_eq_mul_ly,pre_cap_mul_ly,post_rev_mul_fy,post_ebitda_mul_fy,post_ebit_mul_fy,post_pbt_mul_fy,post_pat_mul_fy,post_np_mul_fy,post_ta_mul_fy,post_na_mul_fy,post_cl_mul_fy,post_eq_mul_fy,post_cap_mul_fy
1.0,63699.0,10.74,66.69,135.22,-,-,-,-,-,-,-,-,10.74,66.69,135.22,-,-,-,-,-,-,32.19,-
2.0,53593.0,6.5,40.39,81.9,-,196.83,-,7.15,22.12,-,19.5,-,6.5,40.39,81.9,-,-,-,-,-,-,-,-
3.0,1909123295.0,3.48,12.26,13.32,18.28,24.94,20.72,1.57,3.83,7.72,3.83,1.53,-,-,-,-,-,-,-,-,-,-,-
4.0,140036.0,6.96,32.84,36.87,36.87,51.93,51.93,7.87,17.65,24.4,17.65,-,-,-,-,-,-,-,-,-,-,-,-
5.0,45748.0,3.03,7.63,16.34,16.29,28.59,50.82,1.73,4.21,4.49,4.74,-,2.81,6.59,12.05,15.46,32.18,51.5,1.68,-,4.44,4.55,-
6.0,1941013502.0,2.7,10.94,12.55,16.44,23.57,26.11,1.52,4.37,10.65,4.9,2.58,2.54,11.32,12.56,17.28,21.87,17.07,1.43,-,9.35,3.94,1.47
7.0,104390.0,8.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.0,1941693033.0,5.17,26.32,33.99,38.5,52.51,52.51,2.21,44.98,5.57,44.98,1.33,-,-,-,-,-,-,-,-,-,1.03,-
9.0,1941641140.0,9.13,34.23,41.21,39.39,45.41,45.41,2.51,3.57,19.32,3.57,1.15,-,-,-,-,-,-,-,-,-,0.88,-
10.0,1909098539.0,2.02,8.03,12.41,15.09,24.18,24.35,2.64,n.s.,9.64,n.s.,1.54,-,-,-,-,-,-,-,-,-,1.29,-
11.0,1941095411.0,2.13,9.52,10.57,14.54,18.4,14.36,1.2,3.01,7.87,3.31,1.24,-,-,-,-,-,-,-,-,-,-,-
12.0,2007132792.0,3.33,6.89,9.91,10.32,13.18,13.18,1.76,2.78,21.69,2.78,1.23,-,-,-,-,-,-,-,-,-,0.95,-
13.0,123767.0,4.34,23.16,24.12,37.81,46.48,-,2.68,-,-,4.84,-,-,-,-,-,-,-,-,-,-,-,-
14.0,1941059157.0,3.88,12.41,23.96,31.06,13.84,13.77,0.87,1.63,7.46,1.63,1.23,-,-,-,-,-,-,-,-,-,-,-
15.0,1941260213.0,2.54,13.02,25.67,95.55,165.69,14.91,0.31,0.6,0.78,0.61,0.47,3.71,17.16,33.78,n.s.,n.s.,115.11,0.83,-,6.87,1.4,1.21
16.0,143891.0,179.49,521.1,576.93,576.93,576.93,-,1.18,-,162.08,1.74,-,-,-,-,-,-,-,-,-,-,-,-
17.0,124789.0,4.92,14.21,16.61,15.98,20.21,20.42,3.45,7.99,10.91,7.99,-,5.12,15.42,17.5,16.42,20.96,20.96,2.98,-,11.21,6.86,0.82
18.0,1941224476.0,4.21,7.3,23.73,37.04,64.94,89.43,1.36,5.03,11.81,6.47,2.49,-,-,-,-,-,-,-,-,-,1.34,-
19.0,61169.0,20.07,43.45,58.46,57.85,99.16,-,22.69,-,46.05,49.59,-,16.59,35.8,46.92,47.16,77.72,-,18.09,-,39.54,35.79,-
20.0,1909116451.0,10.23,26.71,31.88,29.81,35.66,75.9,6.06,9.41,27.92,9.41,1.86,8.37,23.72,32.99,15.54,14.83,14.82,3.7,-,16.7,5.83,1.22
21.0,1909223039.0,-,-,-,-,-,-,50.06,-,n.s.,50.06,4.83,-,-,-,-,-,-,-,-,-,-,-
22.0,1941220399.0,3.83,6.64,21.57,33.67,59.03,81.3,1.24,4.57,10.73,5.89,2.26,-,-,-,-,-,-,-,-,-,-,-
23.0,67232.0,1.33,7.39,11.59,12.82,17.8,17.8,1.49,2.94,8.01,2.97,-,-,-,-,-,-,-,-,-,-,-,-
24.0,127379.0,4.06,-,-,11.84,-,-,0.23,-,-,2.18,-,-,-,-,-,-,-,-,-,-,-,-
25.0,90985.0,1.87,10.95,16.68,19.51,28.21,28.21,1.86,4.82,6.49,4.82,-,1.98,12.54,17.98,n.s.,n.s.,n.s.,1.93,-,7.52,5.1,-
