deal_num,tar_status,tar_ent_type,tar_legal_form,tar_incorp_d,tar_bvd_indep,tar_acct_types,tar_filing_type,tar_last_acct_d,tar_acct_pub,acq_status,acq_ent_type,acq_legal_form,acq_incorp_d,acq_bvd_indep,acq_acct_types,acq_filing_type,acq_last_acct_d,acq_acct_pub,ven_status,ven_ent_type,ven_legal_form,ven_incorp_d,ven_bvd_indep,ven_acct_types,ven_filing_type,ven_last_acct_d,ven_acct_pub,tar_name,tar_bvd_id_num,tar_orbis_id_num,acq_name,acq_bvd_id_num,acq_orbis_id_num,ven_name,ven_bvd_id_num,ven_orbis_id_num,tar_incorp_d_year,tar_last_acct_d_year,acq_incorp_d_year,acq_last_acct_d_year,ven_incorp_d_year,ven_last_acct_d_year
1603000297.0,Active,Company,Corporation,1997,D,Unconsolidated,Local registry filing,2023-12-31,PHP,Active,Company,Public limited company,1994,D,Consolidated,Annual report,2025-03-31,PHP,,,,,,,,,,"SUNTRUST PROPERTIES, INC.",PHA199720806,012153645,"EMPIRE EAST LAND HOLDINGS, INC.",PHAS94006430,037508514,,,,1997.0,2023.0,1994.0,2025.0,,
1943276387.0,Active,Company,Private limited company,2007,D,Cons. & Uncons.,Local registry filing,2023-06-30,MYR,Active,Company,Public limited company,2020,A+,Consolidated,Annual report,2025-03-31,MYR,,Individuals/Families,,,U,,,,,MUTU NUSANTARA SDN BHD,MY769284-V,156128512,MN HOLDINGS BHD,MY1395095-M,541864527,DATUK LOY SIONG HAY,,,2007.0,2023.0,2020.0,2025.0,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,DATO' TOH ENG KEAT,,,,,,,,
1943303600.0,Active,Company,Private limited company,2000,D,Cons. & Uncons.,Local registry filing,2023-12-31,MYR,Active,Company,Public limited company by shares,2012,B+,Consolidated,Annual report,2024-12-31,SGD,,Individuals/Families,,,U,,,,,FORMACH ASIA SDN BHD,MY506283-H,156056246,GRAND VENTURE TECHNOLOGY LTD,SG201222831E,350015526,MR LEONG YOKE CHOY,,,2000.0,2023.0,2012.0,2024.0,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MS GAN LEE KIM,,,,,,,,
1907124080.0,Dissolved (merger or take-over),Company,Limited company by shares,1999-11-15 00:00:00,-,No recent Unconso.,Local registry filing,2015-12-31,KRW,Active,Company,Public limited company by shares,1994-12-01 00:00:00,B+,Cons. & Uncons.,Annual report,2024-12-31,KRW,,,,,,,,,,"BGF LOGIS GANGHWA CO., LTD",KR1201110206583,057346411,"BGF RETAIL CO., LTD",KR1101111105215,046722587,,,,1999.0,2015.0,1994.0,2024.0,,
2007259454.0,Active,Company,Limited liability company,2016-05-24 00:00:00,D,Limited financial data,Local registry filing,2021-12-31,CNY,Active,Company,Joint stock company,1994,B+,Consolidated,Annual report,2025-03-31,CNY,Active,Company,Joint stock company,2008,D,Consolidated,Annual report,2025-03-31,CNY,"SANY SOLAR POWER CO., LTD",CN9405166248,338490772,"SANY HEAVY INDUSTRY CO., LTD",CN31578PC,036727908,"SANY HEAVY ENERGY CO., LTD",CN56497PC,392329989,2016.0,2021.0,1994.0,2025.0,2008.0,2025.0
1909557778.0,Active,Company,Limited liability company,2002-12-15 00:00:00,D,No recent Unconso.,Local registry filing,2015-12-31,CNY,Active,Company,Joint stock company,1998,B+,Consolidated,Annual report,2024-06-30,CNY,,Individuals/Families,,,U,,,,,"GUANGZHOU HAIJIE COMPUTER TECHNOLOGY CO., LTD",CN9361677070,147644219,"HAINAN EKING TECHNOLOGY CO., LTD",CN42632PC,231297424,MR WANG KAI,,,2002.0,2015.0,1998.0,2024.0,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR LIU XIAOJUN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR ZHANG DONGJIN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR WU YINGWEI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR WANG HUI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR WU SHUXIAN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR GUO JIANZHI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR ZHUO ZHICHENG,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR WANG WEI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR JIANG SAIQI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR HUANG DASHENG,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MS WEI JIANGMEI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR MAO HUI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR SU HAIFENG,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR CHEN LIANGLONG,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR ZHAO LIUPING,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR WANG SHAOHUI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR LIU BO,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR WANG LIANG,,,,,,,,
1633037081.0,Active,Company,Limited liability company,2010-06-11 00:00:00,D,No recent Unconso.,Local registry filing,2014-12-31,CNY,Active,Company,Joint stock company,1993-03-30 00:00:00,A+,Consolidated,Annual report,2025-03-31,CNY,,Individuals/Families,,,U,,,,,"WUHAN ZHONG YUAN RUI DE BIOLOGICAL PRODUCTS CO., LTD",CN9360590847,285790845,"WUHAN HUMANWELL HEALTHCARE (GROUP) CO., LTD",CN30317PC,037441949,MR OUYANG WENQI,,,2010.0,2014.0,1993.0,2025.0,,
