unnamed__0,deal_num,pre_deal_tar_rev_rev_last_avail_yr,pre_deal_tar_ebitda_last_avail_yr,pre_deal_tar_ebit_last_avail_yr,pre_deal_tar_pbt_last_avail_yr,pre_deal_tar_pat_last_avail_yr,pre_deal_tar_np_last_avail_yr,pre_deal_tar_ta_last_avail_yr,pre_deal_tar_na_last_avail_yr,pre_deal_tar_current_liabilities_last_avail_yr,pre_deal_tar_eq_last_avail_yr,pre_deal_tar_cap,pre_deal_acq_rev_rev_last_avail_yr,pre_deal_acq_ebitda_last_avail_yr,pre_deal_acq_ebit_last_avail_yr,pre_deal_acq_pbt_last_avail_yr,pre_deal_acq_pat_last_avail_yr,pre_deal_acq_np_last_avail_yr,pre_deal_acq_ta_last_avail_yr,pre_deal_acq_na_last_avail_yr,pre_deal_acq_current_liabilities_last_avail_yr,pre_deal_acq_eq_last_avail_yr,pre_deal_acq_cap,pre_deal_ven_rev_rev_last_avail_yr,pre_deal_ven_ebitda_last_avail_yr,pre_deal_ven_ebit_last_avail_yr,pre_deal_ven_pbt_last_avail_yr,pre_deal_ven_pat_last_avail_yr,pre_deal_ven_np_last_avail_yr,pre_deal_ven_ta_last_avail_yr,pre_deal_ven_na_last_avail_yr,pre_deal_ven_current_liabilities_last_avail_yr,pre_deal_ven_eq_last_avail_yr,pre_deal_ven_cap,post_deal_tar_rev_rev_1st_avail_yr,post_deal_tar_ebitda_1st_avail_yr,post_deal_tar_ebit_1st_avail_yr,post_deal_tar_pbt_1st_avail_yr,post_deal_tar_pat_1st_avail_yr,post_deal_tar_np_1st_avail_yr,post_deal_tar_ta_1st_avail_yr,post_deal_tar_na_1st_avail_yr,post_deal_tar_current_liabilities_1st_avail_yr,post_deal_tar_shareholder_funds_1st_avail_yr,post_deal_tar_cap,post_deal_acq_rev_rev_1st_avail_yr,post_deal_acq_ebitda_1st_avail_yr,post_deal_acq_ebit_1st_avail_yr,post_deal_acq_pbt_1st_avail_yr,post_deal_acq_pat_1st_avail_yr,post_deal_acq_np_1st_avail_yr,post_deal_acq_ta_1st_avail_yr,post_deal_acq_na_1st_avail_yr,post_deal_acq_shareholder_funds_1st_avail_yr,post_deal_acq_cap,post_deal_ven_rev_rev_1st_avail_yr,post_deal_ven_ebitda_1st_avail_yr,post_deal_ven_ebit_1st_avail_yr,post_deal_ven_pbt_1st_avail_yr,post_deal_ven_pat_1st_avail_yr,post_deal_ven_np_1st_avail_yr,post_deal_ven_ta_1st_avail_yr,post_deal_ven_na_1st_avail_yr,post_deal_ven_shareholder_funds_1st_avail_yr,post_deal_ven_cap,tar_name,tar_bvd_id_num,tar_orbis_id_num,acq_name,acq_bvd_id_num,acq_orbis_id_num,ven_name,ven_bvd_id_num,ven_orbis_id_num
,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,SHAREHOLDERS,,
9.0,1941641140.0,7528000,2007000,1667000,1744000,1513000,1513000,27383000,19243000,3555000,19243000,59909970.557833,211915000,103555000,89664000,89311000,72361000,72361000,411976000,206223000,104149000,206223000,2532081002.32616,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,245122000,131720000,109227000,107787000,88136000,88136000,512163000,n.a.,268477000,3321869165.35469,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,ACTIVISION BLIZZARD INC.,US954803544,000590861,MICROSOFT CORPORATION,US911144442,000507951,,,
10.0,1909098539.0,33260000,8352000,5409000,4448000,2775000,2756000,25459000,-4828000,6959000,-5213000,43543921.050895,132447000,32605000,14332000,10355000,6736000,6442000,296834000,90270000,37282000,89716000,174231330.791473,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,146801000,46802000,24785000,20692000,13687000,13345000,402672000,n.a.,122671000,211690319.061279,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,164833316.751523,DIRECTV LLC,US264772533,363801169,AT&T INC.,US431301883,000647735,BERKSHIRE HATHAWAY INC.,US470813844,000000420
,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,SHAREHOLDERS,,
,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,18000000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,PAULSON & COMPANY INC.,US188092545L,059968179
11.0,1941095411.0,30400000,6811000,6134000,4460000,3524000,4514000,53831000,21562000,8244000,19564000,52374875.514797,85029000,27956000,17826000,15353000,10240000,22735000,187462000,70816000,21993000,68616000,185634295.325827,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,94507000,29810000,18793000,15242000,11882000,11731000,251684000,n.a.,71613000,153787439.45952,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,TWENTY-FIRST CENTURY FOX INC.,US260075658,011640967,COMCAST CORPORATION,US270000798,US270000798,,,
12.0,2007132792.0,19374000,9368000,6506000,6247000,4894000,4894000,36613000,23171000,2974000,23171000,52466502.973124,334697000,67888000,47247000,52783000,37330000,36010000,376317000,212538000,65316000,204802000,396212543.545532,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,339247000,67117000,43675000,48873000,35035000,33680000,453475000,n.a.,263705000,472780317.896244,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,PIONEER NATURAL RESOURCES COMPANY,US752702753,000819898,EXXON MOBIL CORPORATION,US135409005,000002269,,,
13.0,123767.0,13837000,2591000,2488000,1587000,1291000,n.a.,22377000,n.a.,n.a.,12390000,n.a.,32294000,13350000,12320000,11766000,9167000,9126000,46356000,19950000,18555000,19950000,192423657.899063,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,44736000,9689000,5664000,3246000,1632000,3906000,116775000,n.a.,65377000,281664934.861902,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,PHARMACIA CORPORATION,US140258737L,205788561,PFIZER INC.,US135315170,000003136,,,
14.0,1941059157.0,15160600,4739000,2454800,1893400,4251000,4271500,67756900,36176400,7882000,36176400,47754501.27643,6069198.12493439,685578.207570319,575516.459696915,2281827.87712083,1721045.83153424,1721045.83153424,27213119.186271,14375284.624116,3258311.82835955,14375284.624116,65116605.1433992,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5994513.69613661,679798.562310305,617372.871548093,474078.163429614,749586.858499286,749586.858499286,87749786.2741372,n.a.,42769108.0296506,47991715.935731,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,SHIRE PLC,GBJE99854,050659983,"TAKEDA PHARMACEUTICAL CO., LTD",JP2120001077461,051056764,,,
15.0,1941260213.0,22594000,4403000,2233000,600000,346000,3845000,187855000,95900000,73312000,94292000,122696161.14674,10401396.6783099,1940651.22011415,1414239.75554877,1284039.90503794,1075271.17921883,1199858.96720765,15310828.9725721,8771653.72191562,2885722.54882214,8734614.10927029,16223495.5988105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15436000,3341000,1697000,-126000,-189000,498000,69349000,41556000,8346000,40987000,47559788.970637,8977055.21022151,1538827.5435376,948438.566221202,875481.753434956,716099.177809618,841809.378302842,15088591.2967001,n.a.,8677371.0715457,14547591.2115549,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,DUPONT DE NEMOURS INC.,US811224539,300215226,KONINKLIJKE DSM NV,NL14022069,005439137,,,
