unnamed_0,deal_num,deal_type,deal_struct,deal_fin,deal_pay_method,deal_pay_method_val_usd,deal_status,rumour_d,announced_d,expected_comp_d,assumed_comp_d,completed_d,postponed_d,withdrawn_d,last_deal_status_d,last_deal_val_up_d,last_deal_status_up_d,last_pct_stake_up_d,last_acq_tar_ven_up_d,last_advisor_up_d,last_comment_up_d,last_up,rumour_d_yr,announced_d_yr,expected_comp_d_yr,assumed_comp_d_yr,completed_d_yr,postponed_d_yr,withdrawn_d_yr,last_deal_status_d_yr,last_deal_val_up_d_yr,last_deal_status_up_d_yr,last_pct_stake_up_d_yr,last_acq_tar_ven_up_d_yr,last_advisor_up_d_yr,last_comment_up_d_yr,last_up_yr
12.0,2007132792.0,Acquisition 100%,Public takeover,Capital increase - vendor placing,Liabilities,n.a.,Completed,45023.0,45210.0,,,45415.0,,,45415.0,45272.0,45419.0,,,,45419.0,45419.0,2023.0,2023.0,,,2024.0,,,2024.0,2023.0,2024.0,,,,2024.0,2024.0
,,,Recommended bid,,Shares,59500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Patent sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,123767.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Shares,60000000,Completed,37452.0,37452.0,,,37727.0,,,37727.0,37733.0,37733.0,37733.0,37733.0,41173.0,41173.0,41173.0,2002.0,2002.0,,,2003.0,,,2003.0,2003.0,2003.0,2003.0,2003.0,2012.0,2012.0,2012.0
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,1941059157.0,Acquisition 100%,Scheme of arrangement,Capital increase - vendor placing,Cash,36400349.2117045,Completed,43187.0,43228.0,,,43473.0,,,43473.0,43229.0,43473.0,,,43416.0,43468.0,43473.0,2018.0,2018.0,,,2019.0,,,2019.0,2018.0,2019.0,,,2018.0,2019.0,2019.0
,,,Public takeover,New bank facilities,Shares,22414322.5525503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reverse take-over,Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,1941260213.0,Acquisition 100%,Public takeover,,,n.a.,Rumour - Expired,43683.0,,,,,,,43683.0,,,,,,,,2019.0,,,,,,,2019.0,,,,,,,
,,,Dual Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,143891.0,Acquisition 100% - Bid 1 - Withdrawn,Public takeover,Capital increase - vendor placing,Shares,n.a.,Withdrawn,37630.0,38012.0,,,,,38103.0,38103.0,41320.0,38103.0,38013.0,,41152.0,41320.0,41320.0,2003.0,2004.0,,,,,2004.0,2004.0,2013.0,2004.0,2004.0,,2012.0,2013.0,2013.0
,,,Hostile bid,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,124789.0,Acquisition 100%,Public takeover,,,n.a.,Rumour - Expired,37459.0,,,,,,,37459.0,,,,,,,,2002.0,,,,,,,2002.0,,,,,,,
18.0,1941224476.0,Acquisition 100%,Contested bid,New bank facilities,Cash,29615509,Completed,43567.0,43594.0,,,43685.0,,,43685.0,43731.0,43731.0,,,43630.0,43731.0,43731.0,2019.0,2019.0,,,2019.0,,,2019.0,2019.0,2019.0,,,2019.0,2019.0,2019.0
,,,Public takeover,Leverage,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Patent sale,Capital increase - vendor placing,Shares,8533282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,61169.0,Acquisition remaining 39.86%,Public takeover - Withdrawn,Capital increase - vendor placing,Shares,54115523.0152065,Withdrawn,36231.0,36231.0,,,,,,36231.0,,,,,,,,1999.0,1999.0,,,,,,1999.0,,,,,,,
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1909116451.0,Acquisition 100%,Patent sale,Capital increase - vendor placing,Cash,23507969.5448536,Withdrawn,41753.0,41838.0,,,,,41932.0,41932.0,,41933.0,,,,41933.0,41933.0,2014.0,2014.0,,,,,2014.0,2014.0,,2014.0,,,,2014.0,2014.0
,,,Public takeover,New bank facilities,Shares,26970681.3582429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scheme of arrangement,Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,1909223039.0,Acquisition 100%,Public takeover,,Liabilities,7000000,Rumour - Withdrawn,42111.0,,,,,,42212.0,42212.0,42192.0,42213.0,,,42278.0,42216.0,42278.0,2015.0,,,,,,2015.0,2015.0,2015.0,2015.0,,,2015.0,2015.0,2015.0
,,,Hostile bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
