unnamed_0,deal_num,deal_value,deal_value_native_currency,deal_equity_value,deal_equity_value_native_currency,deal_enterprise_value,deal_enterprise_value_native_currency,deal_modelled_enterprise_value,deal_modelled_enterprise_value_native_currency,deal_total_target_value,deal_total_target_value_native_currency,modelled_fee_income,as_reported_fee_income,stake_init_pct,stake_acq_pct,stake_final_pct,irr_pct,currency
1.0,1601283517.0,194.588812516141,194.588812516141,194.588812516141,194.588812516141,n.a.,n.a.,525.617026045234,525.617026045234,395.537867061132,395.537867061132,12.0645063760007,n.a.,50.80400,49.19600,100.00000,,RSD
2.0,396532.0,194.552529182879,194.552529182879,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,389.105058365759,389.105058365759,12.0622568093385,n.a.,50.00000,50.00000,100.00000,,AUD
3.0,2007452850.0,194.522870700322,194.522870700322,194.522870700322,194.522870700322,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,100.00000,Unknown %,100.00000,,CNY
4.0,1907008897.0,194.514685858782,194.514685858782,194.514685858782,194.514685858782,n.a.,n.a.,186.043571289632,186.043571289632,194.514685858782,194.514685858782,12.0599105232445,n.a.,0.00000,100.00000,100.00000,,JPY
5.0,1909084517.0,194.294467650014,194.294467650014,194.294467650014,194.294467650014,n.a.,n.a.,9231.01497463443,9231.01497463443,4820.00663542411,4820.00663542411,12.0462569943009,n.a.,95.96900,4.03100,100.00000,,RUB
6.0,1941267844.0,194.232759982205,194.232759982205,n.a.,n.a.,n.a.,n.a.,25.8478980591704,25.8478980591704,194.232759982205,194.232759982205,12.0424311188967,n.a.,0.00000,100.00000,100.00000,,CNY
7.0,1633097340.0,194.012489137607,194.012489137607,194.012489137607,194.012489137607,n.a.,n.a.,n.a.,n.a.,194.012489137607,194.012489137607,12.0287743265316,n.a.,0.00000,100.00000,100.00000,,JPY
8.0,1909287117.0,193.63922437732,193.63922437732,193.63922437732,193.63922437732,n.a.,n.a.,n.a.,n.a.,4622.5645291143,4622.5645291143,12.0056319113939,n.a.,64.31100,4.18900,68.50000,,RON
9.0,1941651211.0,193.61014257108,193.61014257108,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,193.61014257108,193.61014257108,12.003828839407,n.a.,0.00000,100.00000,100.00000,,CNY
10.0,1909499001.0,193.606054279856,193.606054279856,193.606054279856,193.606054279856,n.a.,n.a.,n.a.,n.a.,298.130738694393,298.130738694393,12.0035753653511,n.a.,0.00000,64.94000,64.94000,,DKK
11.0,1907094890.0,193.573457002145,193.573457002145,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,193.573457002145,193.573457002145,12.001554334133,n.a.,0.00000,100.00000,100.00000,,MYR
12.0,1601305187.0,193.461943939216,193.461943939216,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9673.09719696077,9673.09719696077,11.9946405242314,n.a.,Unknown %,2.00000,Unknown %,,LTL
