unnamed_0,deal_num,deal_value,deal_value_native_currency,deal_equity_value,deal_equity_value_native_currency,deal_enterprise_value,deal_enterprise_value_native_currency,deal_modelled_enterprise_value,deal_modelled_enterprise_value_native_currency,deal_total_target_value,deal_total_target_value_native_currency,modelled_fee_income,as_reported_fee_income,stake_init_pct,stake_acq_pct,stake_final_pct,irr_pct,currency
29.0,1943212740.0,41054256.5717135,41054256.5717135,41054256.5717135,41054256.5717135,n.a.,n.a.,122329616.049693,122329616.049693,121498243.775421,121498243.775421,94424.790114941,n.a.,66.21000,33.79000,100.00000,,JPY
30.0,64729.0,39797577.7372056,39797577.7372056,n.a.,n.a.,39797577.7372056,39797577.7372056,n.a.,n.a.,39797577.7372056,39797577.7372056,91534.4287955728,n.a.,0.00000,100.00000,100.00000,,CAD
31.0,1909167612.0,38000000.0,38000000.0,34010932,34010932,38000000,38000000,35727932,35727932,38000000,38000000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
32.0,1909251750.0,37000000.0,37000000.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,37000000,37000000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
33.0,2007443106.0,35300000.0,35300000.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35300000,35300000,81190,n.a.,0.00000,100.00000,100.00000,,USD
34.0,1941528737.0,33600000.0,33600000.0,29800000,29800000,33600000,33600000,33382600,33382600,33600000,33600000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
35.0,47886.0,33191517.9167339,33191517.9167339,33191517.9167339,33191517.9167339,n.a.,n.a.,n.a.,n.a.,33191517.9167339,33191517.9167339,76340.491208488,n.a.,0.00000,100.00000,100.00000,,GBP
36.0,95816.0,32300000.0,32300000.0,30400000,30400000,32300000,32300000,32289400,32289400,32300000,32300000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
37.0,449420.0,32172577.1348099,32172577.1348099,n.a.,n.a.,32172577.1348099,32172577.1348099,n.a.,n.a.,32172577.1348099,32172577.1348099,n.a.,n.a.,0.00000,100.00000,100.00000,,EUR
38.0,2007615619.0,32000000.0,32000000.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,32000000,32000000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
39.0,68114.0,31566247.7685293,31566247.7685293,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,31566247.7685293,31566247.7685293,72602.3698676175,n.a.,0.00000,100.00000,100.00000,,GBP
40.0,1941577802.0,31000000.0,31000000.0,27200000,27200000,31000000,31000000,30782600,30782600,31000000,31000000,71300,n.a.,0.00000,100.00000,100.00000,,USD
41.0,57325.0,30000000.0,30000000.0,30000000,30000000,n.a.,n.a.,n.a.,n.a.,30000000,30000000,69000,n.a.,0.00000,100.00000,100.00000,,USD
42.0,64317.0,29600000.0,29600000.0,n.a.,n.a.,29600000,29600000,n.a.,n.a.,29600000,29600000,68080,n.a.,0.00000,100.00000,100.00000,,USD
43.0,2007535884.0,29100000.0,29100000.0,16400000,16400000,29100000,29100000,26975000,26975000,29100000,29100000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
44.0,1601225506.0,29100000.0,29100000.0,n.a.,n.a.,n.a.,n.a.,33912600,33912600,29100000,29100000,66930,n.a.,0.00000,100.00000,100.00000,,USD
45.0,521358.0,29025570.1451278,29025570.1451278,25155494.1257775,25155494.1257775,29034280.4422944,29034280.4422944,28650209.5894955,28650209.5894955,29034280.4298549,29034280.4298549,66758.8113337941,n.a.,0.00000,99.97000,99.97000,,EUR
46.0,1909647786.0,29000000.0,29000000.0,n.a.,n.a.,n.a.,n.a.,28308300,28308300,29000000,29000000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
47.0,631239.0,28300000.0,28300000.0,28300000,28300000,n.a.,n.a.,52080144.253,52080144.253,54266538.83,54266538.83,65090,n.a.,24.85000,52.15000,77.00000,,USD
48.0,71195.0,27407276.5972638,27407276.5972638,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27407276.5972638,27407276.5972638,63036.7361737067,n.a.,0.00000,100.00000,100.00000,,EUR
49.0,1941096149.0,26599062.2694815,26599062.2694815,26599062.2694815,26599062.2694815,n.a.,n.a.,n.a.,n.a.,26599062.2694815,26599062.2694815,n.a.,n.a.,0.00000,100.00000,100.00000,,GBP
50.0,59173.0,26533148.8967997,26533148.8967997,n.a.,n.a.,26533148.8967997,26533148.8967997,n.a.,n.a.,26533148.8967997,26533148.8967997,61026.2424626393,n.a.,0.00000,100.00000,100.00000,,EUR
51.0,300755.0,25400000.0,25400000.0,n.a.,n.a.,n.a.,n.a.,23844900,23844900,25400000,25400000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
52.0,97368.0,25000000.0,25000000.0,n.a.,n.a.,n.a.,n.a.,23418000,23418000,25000000,25000000,57500,n.a.,0.00000,100.00000,100.00000,,USD
53.0,1909178231.0,24633703.2983014,24633703.2983014,n.a.,n.a.,24633703.2983014,24633703.2983014,n.a.,n.a.,24633703.2983014,24633703.2983014,n.a.,n.a.,0.00000,100.00000,100.00000,,EUR
54.0,68480.0,24400000.0,24400000.0,21300000,21300000,24400000,24400000,23698000,23698000,24400000,24400000,56120,n.a.,0.00000,100.00000,100.00000,,USD
55.0,1909571064.0,24000000.0,24000000.0,24000000,24000000,n.a.,n.a.,24736700,24736700,24000000,24000000,55200,n.a.,0.00000,100.00000,100.00000,,USD
56.0,1939003548.0,23489700.0,23489700.0,n.a.,n.a.,24700000,24700000,n.a.,n.a.,24700000,24700000,54026.31,n.a.,4.90000,95.10000,100.00000,,USD
57.0,1943253160.0,23000000.0,23000000.0,23000000,23000000,27000000,27000000,23203860.126,23203860.126,23000000,23000000,52900,n.a.,0.00000,100.00000,100.00000,,USD
58.0,1941591230.0,22566719.9751269,22566719.9751269,22566719.9751269,22566719.9751269,n.a.,n.a.,24889928.4996242,24889928.4996242,22566719.9751269,22566719.9751269,n.a.,n.a.,0.00000,100.00000,100.00000,,GBP
59.0,2007561604.0,22500000.0,22500000.0,17100000,17100000,22500000,22500000,22392000,22392000,22500000,22500000,51750,n.a.,0.00000,100.00000,100.00000,,USD
60.0,1943211857.0,22000000.0,22000000.0,n.a.,n.a.,n.a.,n.a.,22033023.098,22033023.098,22000000,22000000,50600,n.a.,0.00000,100.00000,100.00000,,USD
61.0,532489.0,21000000.0,21000000.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21000000,21000000,48300,n.a.,0.00000,100.00000,100.00000,,USD
62.0,61262.0,20454631.1267221,20454631.1267221,n.a.,n.a.,20454631.1267221,20454631.1267221,n.a.,n.a.,20454631.1267221,20454631.1267221,n.a.,n.a.,0.00000,100.00000,100.00000,,EUR
63.0,446295.0,20373567.728771,20373567.728771,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,22738356.8403704,22738356.8403704,46859.2057761733,n.a.,0.00000,89.60000,89.60000,,EUR
64.0,1941521750.0,19700000.0,19700000.0,n.a.,n.a.,19700000,19700000,n.a.,n.a.,19700000,19700000,49250,n.a.,0.00000,100.00000,100.00000,,USD
65.0,1941483578.0,18722511.0,18722511.0,18722511,18722511,n.a.,n.a.,25517511,25517511,18722511,18722511,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
66.0,1941419433.0,18500000.0,18500000.0,n.a.,n.a.,n.a.,n.a.,18108262,18108262,18500000,18500000,46250,n.a.,0.00000,100.00000,100.00000,,USD
67.0,1909212719.0,18412325.1756192,18412325.1756192,18412325.1756192,18412325.1756192,n.a.,n.a.,32930313.0030181,32930313.0030181,21012159.6951277,21012159.6951277,46030.812939048,n.a.,0.00000,87.62700,87.62700,,CHF
68.0,1601301188.0,18400000.0,18400000.0,16500000,16500000,18400000,18400000,17914000,17914000,18400000,18400000,46000,n.a.,0.00000,100.00000,100.00000,,USD
69.0,2007486162.0,18250000.0,18250000.0,n.a.,n.a.,18250000,18250000,n.a.,n.a.,18250000,18250000,45625,n.a.,0.00000,100.00000,100.00000,,USD
70.0,323950.0,18000000.0,18000000.0,16400000,16400000,18000000,18000000,18302000,18302000,18000000,18000000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
71.0,1909178804.0,17806451.6718322,17806451.6718322,14530064.5642151,14530064.5642151,17806451.6718322,17806451.6718322,n.a.,n.a.,17806451.6718322,17806451.6718322,44516.1291795806,n.a.,0.00000,100.00000,100.00000,,GBP
72.0,455312.0,17777679.3622675,17777679.3622675,n.a.,n.a.,n.a.,n.a.,19842679.3622675,19842679.3622675,17777679.3622675,17777679.3622675,n.a.,n.a.,0.00000,100.00000,100.00000,,CAD
73.0,154563.0,17365391.1276668,17365391.1276668,n.a.,n.a.,n.a.,n.a.,25491501.2981149,25491501.2981149,17365391.1276668,17365391.1276668,n.a.,n.a.,0.00000,100.00000,100.00000,,EUR
74.0,1909537539.0,17200000.0,17200000.0,9300000,9300000,29251700.7,29251700.7,23625154.531,23625154.531,29251700.68,29251700.68,43000,n.a.,41.20000,58.80000,100.00000,,USD
75.0,80948.0,17100000.0,17100000.0,n.a.,n.a.,n.a.,n.a.,18567953.695,18567953.695,17100000,17100000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
76.0,2007015680.0,17071714.7049596,17071714.7049596,17071714.7049596,17071714.7049596,n.a.,n.a.,18739653.762965,18739653.762965,17071714.7049596,17071714.7049596,42679.286762399,n.a.,0.00000,100.00000,100.00000,,SEK
77.0,1909028298.0,17000000.0,17000000.0,n.a.,n.a.,n.a.,n.a.,20901054.238,20901054.238,17000000,17000000,n.a.,n.a.,0.00000,100.00000,100.00000,,USD
78.0,1601475322.0,16972680.0026957,16972680.0026957,16972680.0026957,16972680.0026957,n.a.,n.a.,n.a.,n.a.,22701370.9655582,22701370.9655582,n.a.,n.a.,25.23500,74.76500,100.00000,,EUR
79.0,523310.0,16827536.9357055,16827536.9357055,n.a.,n.a.,n.a.,n.a.,16813202.5312158,16813202.5312158,16827536.9357055,16827536.9357055,42068.8423392638,n.a.,0.00000,100.00000,100.00000,,EUR
80.0,2007964435.0,16478367.1745817,16478367.1745817,16478367.1745817,16478367.1745817,n.a.,n.a.,38956774.6035519,38956774.6035519,38983598.7096797,38983598.7096797,n.a.,n.a.,57.73000,42.27000,100.00000,,JPY
81.0,71681.0,16290659.9996123,16290659.9996123,n.a.,n.a.,n.a.,n.a.,18688659.999201,18688659.999201,16290659.9996123,16290659.9996123,n.a.,n.a.,0.00000,100.00000,100.00000,,EUR
82.0,2007675339.0,16261427.8768016,16261427.8768016,16261427.8768016,16261427.8768016,n.a.,n.a.,9044710.74042539,9044710.74042539,16261427.8768016,16261427.8768016,n.a.,n.a.,0.00000,100.00000,100.00000,,CNY
